"","word","freq","length_word"
"183","二色瘦吉丁蟲",2,6
"184","二色錐折螺",1,5
"185","二色擬緣腹朽木甲",1,8
"186","二尾蘭",2,3
"187","二尾蘭屬",1,4
"188","二岐小毛瓢蟲",1,6
"189","二形鳳尾苔",3,5
"190","二形鳳尾蕨",4,5
"191","二形劍蕨",1,4
"192","二角筍殼菌",1,5
"193","二角菱",1,3
"194","二角跑蛛",1,4
"195","二角黑煤菌",1,5
"196","二角塵蛛",4,4
"197","二角盤星藻",3,5
"198","二孢白粉菌",1,5
"199","二孢煤菌屬",1,5
"200","二歧羽苔",3,4
"201","二花珍珠茅",6,5
"202","二型孢囊筒黏菌",2,7
"203","二型球孢球粉衣",2,7
"204","二型鱗毛蕨",10,5
"205","二型鱗薹",1,4
"206","二星哎獵椿象",1,6
"207","二星網蛾屬",1,5
"208","二星龜金花蟲",1,6
"209","二段海鞘科",1,5
"210","二紅獵裳蛾",1,5
"211","二紋擬竹葉蟬",2,6
"212","二條家蠅",1,4
"213","二條線蕨",6,4
"214","二條縞蠅",1,4
"215","二陶半羽花介",1,6
"216","二斑伊細花螢",1,6
"217","二斑家蚊",1,4
"218","二斑蚜蠅",2,4
"219","二斑黃星舟蛾",1,6
"220","二斑奧蟋",1,4
"221","二晶柱螫磷蝦",1,6
"222","二棘血蜱",2,4
"223","二裂唇莪白蘭",6,6
"224","二裂無絲黏菌",2,6
"225","二裂菱形藻",1,5
"226","二順反子病毒科",1,7
"227","二黑粗毛實蠅",1,6
"228","二節象鼻蟲屬",1,6
"229","二葯藻屬",1,4
"230","二隔膜似指狀孢菌",1,8
"231","二線沙尺蛾",1,5
"232","二線稈蠅",1,4
"233","二線錐折螺",1,5
"234","二緣扁萼蘚",1,5
"235","二齒芒蠅",2,4
"236","二齒香科科",3,5
"237","二齒魨科",1,4
"238","二齒魨屬",1,4
"239","二齒雙管藻",1,5
"240","二點梭長蝽",2,5
"241","二點葉蟎",10,4
"242","二點廣翅蠟蟬",1,6
"243","二點燕蛾",7,4
"244","二點鏟頭沫蟬",1,6
"245","二蘭銹菌屬",1,5
"246","二囊吸蟲屬",1,5
"247","二囊科",1,3
"248","二疊廁蠅",1,4
"249","人心果",37,3
"250","人多高腳蛛",1,5
"251","人字果屬",1,4
"252","人字雙棒蟲",1,5
"253","人形魚虱科",1,5
"254","人形魚虱屬",1,5
"255","人疥蟎",1,3
"256","人科",1,2
"257","人面天蛾",1,4
"258","人面天蛾屬",1,5
"259","人面綿蟹科",1,5
"260","人面綿蟹屬",1,5
"261","人面蜘蛛",13,4
"262","人面蟹科",1,4
"263","人蚤",1,2
"264","人參",1,2
"265","人參屬",1,3
"266","人厭槐葉蘋",1,5
"267","人類免疫缺乏病毒",1,8
"268","人類嗜T淋巴球病毒",4,8
"269","人屬",1,2
"270","入江氏銹天牛",1,6
"271","入侵單家蟻",1,5
"272","入侵瘦吉丁蟲",1,6
"273","八丈折顎蟹",1,5
"274","八丈島罌粟蝸牛",1,7
"275","八丈擬長臂蝦",1,6
"276","八分小耳螺",1,5
"277","八木氏粗天牛",1,6
"278","八木氏擬星天牛",1,7
"279","八木氏燦天牛",1,6
"280","八木沼氏希托蛛",1,7
"281","八木沼氏痣蛛",1,6
"282","八木沼袋蛛",1,5
"283","八木沼渦蛛",1,5
"284","八仙大蚊",1,4
"285","八仙山汙毛朽木甲",1,8
"286","八仙山林蠊",1,5
"287","八仙山馬兜鈴",1,6
"288","八仙山細煙管蝸牛",1,8
"289","八仙沼大蚊",1,5
"290","八仙花禿殼煤菌",1,7
"291","八仙花炭疽刺盤孢菌",1,9
"292","八仙花科",1,4
"293","八仙花屬",4,4
"294","八仙長角天牛",1,6
"295","八仙亮大蚊",1,5
"296","八仙祖大蚊",1,5
"297","八仙蚤蠅",1,4
"298","八仙細小花天牛",1,7
"299","八仙黑斑瓢蟲",1,6
"300","八仙綿大蚊",1,5
"301","八仙蜻蜓",2,4
"302","八仙瘤角天牛",1,6
"303","八仙銹天牛",1,5
"304","八仙燥大蚊",1,5
"305","八仙魔大蚊",1,5
"306","八代赤箭",1,4
"307","八列平苔",1,4
"308","八字白眉天蛾",1,6
"309","八字眉刺蛾",4,5
"310","八色鳥",1,3
"311","八色鳥科",1,4
"312","八色鳥屬",1,4
"313","八角",1,2
"314","八角羽爪節蜱",1,6
"315","八角金盤屬",1,5
"316","八角金盤鱗小蠹",1,7
"317","八角魚科",1,4
"318","八角楓屬",1,4
"319","八角綫角木蝨",1,6
"320","八角蓮",3,3
"321","八角蓮屬",1,4
"322","八角屬",1,3
"323","八孢裂殖壺菌",2,6
"324","八放沒藥灰翼海牛",2,8
"325","八放珊瑚綱",1,5
"326","八芝蘭竹",3,4
"327","八門孔蟲屬",1,5
"328","八門彎貝介",1,5
"329","八室分位節蜱",1,6
"330","八室新五脊節蜱",1,7
"331","八星虎甲蟲",2,5
"332","八星長筒金花蟲",1,7
"333","八星鞘腹姬蛛",2,6
"334","八疣塵蛛",1,4
"335","八重山小蚊",1,5
"336","八重山尼蘭德山蟻",1,8
"337","八重山布勒德木",1,7
"338","八重山平鰓海天牛",1,8
"339","八重山刺蠅",1,5
"340","八重山柃木",1,5
"341","八重山烏蕨",1,5
"342","八重山斜條紅螢",1,7
"343","八重山眼舞蛾",1,6
"344","八重山細辛",1,5
"345","八重山無鬚鳚",2,6
"346","八重山硬蠊",1,5
"347","八重山臀山蟻",1,6
"348","八重山鐮鬚裳蛾",1,7
"349","八重窄腰蜾蠃",1,6
"350","八哥",2,2
"351","八哥（臺灣）",1,4
"352","八哥科",1,3
"353","八哥屬",1,3
"354","八粉蘭屬",1,4
"355","八脈臭黃荊",1,5
"356","八帶下美鮨",2,5
"357","八帶蝴蝶魚",2,5
"358","八帶擬唇魚",1,5
"359","八帶雞魚",1,4
"360","八條瓢蟲",1,4
"361","八部副鳚",2,4
"362","八斑土佐鮃",1,5
"363","八斑以喀實蠅",1,6
"364","八斑搖蚊",1,4
"365","八斑盤瓢蟲",2,5
"366","八斑篩蛾",1,4
"367","八棘八門孔蟲",1,6
"368","八棘四門孔蟲",1,6
"369","八棘扁天竺鯛",2,6
"370","八腕手鈎魷屬",1,6
"371","八腕魷",1,3
"372","八腕魷科",1,4
"373","八腕魷屬",1,4
"374","八腕擬手鈎魷",1,6
"375","八睪澤蛭",1,4
"376","八瘤折角蛾",1,5
"377","八齒白睫苔",5,5
"378","八齒長小蠹",1,5
"379","八齒苔",4,3
"380","八齒苔屬",1,4
"381","八齒碎米苔",5,5
"382","八聲杜鵑",2,4
"383","八聲杜鵑屬",1,5
"384","八點灰燈蛾",5,5
"385","八點廣翅蠟蟬",4,6
"386","八點褐斑實蠅",2,6
"387","八點墨葉蜂",1,5
"388","八點纓翅水螟",1,6
"389","八寶屬",1,3
"390","刀片豆蟶",1,4
"391","刀片蛤",1,3
"392","刀仿哲水蚤",1,5
"393","刀光魚屬",1,4
"394","刀形布紋藻",2,5
"395","刀形長鬚石蛾",1,6
"396","刀形管葉蘚",1,5
"397","刀形鶯蛤",1,4
"398","刀角瓢蟲",1,4
"399","刀豆",9,2
"400","刀豆生尾孢菌",1,6
"401","刀豆炭疽刺盤孢菌",1,8
"402","刀豆疣絲孢菌",2,6
"403","刀豆痂囊腔菌",2,6
"404","刀豆源假尾孢菌",1,7
"405","刀豆葉點黴",1,5
"406","刀豆薊馬",1,4
"407","刀豆雙冬孢銹菌",1,7
"408","刀豆屬",1,3
"409","刀足片戎",1,4
"410","刀刺仙人球",1,5
"411","刀明櫻蛤",1,4
"412","刀唇介屬",1,4
"413","刀浪花魚",2,4
"414","刀海龍屬",1,4
"415","刀翅毛蛉",2,4
"416","刀茗荷屬",1,4
"417","刀傷草",13,3
"418","刀傷草原囊菌",1,6
"419","刀葉槲寄生",3,5
"420","刀葉樹平苔",1,5
"421","刀鋏大尾蠼螋",1,6
"422","刀鍬形蟲",4,4
"423","刀額新對蝦",3,5
"424","刀額擬海蝦",1,5
"425","刀蟶科",1,3
"426","刀蟶屬",1,3
"427","刀蠅屬",1,3
"428","刀鱭",1,2
"429","力 狄美綏蟎",1,5
"430","力里澤蟹",1,4
"431","十一刺栗殼蟹",1,6
"432","十一星肥腳金花蟲",1,8
"433","十一斑食植瓢蟲",1,7
"434","十二星食植瓢蟲",1,7
"435","十八斑瘦金花蟲",1,7
"436","十三星肥腳金花蟲",1,8
"437","十三齒琴蝦蛄",1,6
"438","十大功勞",4,4
"439","十大功勞屬",1,5
"440","十子木",3,3
"441","十子木小花口殼菌",1,8
"442","十子木擬小花口殼",1,8
"443","十子木屬",1,4
"444","十六孢糞裸盤菌",2,7
"445","十六斑筒金花蟲",1,7
"446","十日錦夜蛾",3,5
"447","十毛艷細蠅屬",1,6
"448","十四星裸瓢蟲",1,6
"449","十四斑窄頸金花蟲",1,8
"450","十字凹翅螢金花蟲",1,8
"451","十字形十字藻",3,6
"452","十字形頂棘藻",2,6
"453","十字花目",1,4
"454","十字花科",2,4
"455","十字花科枝孢菌",1,7
"456","十字花科炭疽刺盤孢菌",1,10
"457","十字指形軟珊瑚",1,7
"458","十字盾鞭蠍",1,5
"459","十字胸隔藻",1,5
"460","十字脆杆藻科",1,6
"461","十字梗頭珠霉",1,6
"462","十字渚蠅",1,4
"463","十字斯氏格孢菌",2,7
"464","十字遠環蚓",1,5
"465","十字銀腹蛛",1,5
"466","十羽雄尾蟎",1,5
"467","十形小櫻蛤",1,5
"468","十角餅乾海膽",1,6
"469","十足目",1,3
"470","十刺岩瓷蟹",1,5
"471","十盲家蟻",1,4
"472","十室羽爪節蜱",1,6
"473","十室新五脊節蜱",1,7
"474","十星偽瓢螢金花蟲",1,8
"475","十恩蜈蚣衣",1,5
"476","十斑大瓢蟲",1,5
"477","十斑奇瓢蟲",1,5
"478","十斑長腳蠅",1,5
"479","十棘鑽嘴魚",2,5
"480","十棱淺室水母",1,6
"481","十萬錯花",1,4
"482","十萬錯屬",1,4
"483","十齒花科",1,4
"484","十橫斑擬鱸",2,5
"485","十錦蘆薈",3,4
"486","十點食植瓢蟲",1,6
"487","十點褐斑實蠅",1,6
"488","卜氏窄顱帶魚",1,6
"489","三七",1,2
"490","三七草疣絲孢菌",1,7
"491","三七草屬",1,4
"492","三叉仿刺鎧蝦",1,6
"493","三叉角藻",1,4
"494","三叉孢菌屬",1,5
"495","三叉虎下毛節蜱",1,7
"496","三叉虎新離子節蜱",1,8
"497","三叉虎謝節蜱",1,6
"498","三叉紅楔盲蝽",1,6
"499","三叉假鬼筆",1,5
"500","三叉黑艷蟲屬",1,6
"501","三叉葉星蕨",30,5
"502","三叉蕨",9,3
"503","三叉蕨科",1,4
"504","三叉蕨屬",1,4
"505","三叉雙管藻",1,5
"506","三叉藻屬",1,4
"507","三口螺屬",1,4
"508","三井耳介",1,4
"509","三井瓣海蛞蝓",2,6
"510","三分異軟珊瑚",1,6
"511","三化螟",1,3
"512","三化螟溝姬蜂",2,6
"513","三友似美花介",1,6
"514","三孔羽紋實蠅",5,6
"515","三孔根網蟲",1,5
"516","三孔擬金花蟲屬",1,7
"517","三支擔隔孢菌",1,6
"518","三斗石櫟",13,4
"519","三斗石櫟生禿殼煤菌",1,9
"520","三斗石櫟合位節蜱",1,8
"521","三斗柯粉蝨",1,5
"522","三毛叉木蝨屬",1,6
"523","三毛亞軸孔珊瑚",1,7
"524","三毛草",10,3
"525","三毛草屬",1,4
"526","三毛寄蠅",3,4
"527","三毛鈍綏蟎",1,5
"528","三毛節蜱屬",1,5
"529","三爪假鬼筆",2,5
"530","三爪藤",1,3
"531","三牙縞蠅屬",1,5
"532","三仙台原足蟲",1,6
"533","三白草",5,3
"534","三白草生假尾孢菌",1,8
"535","三白草科",1,4
"536","三白草單胞銹菌",1,7
"537","三白草屬",1,4
"538","三光瑣天牛",1,5
"539","三列格孢菌",1,5
"540","三列海膽屬",1,5
"541","三列商鞅介",1,5
"542","三列貓跳蛛",1,5
"543","三回蹄蓋蕨",6,5
"544","三地鋏蠓",1,4
"545","三宅岩瓷蟹",1,5
"546","三宅長眼寄居蟹",1,7
"547","三宅長筒金花蟲",1,7
"548","三宅虻",1,3
"549","三宅原寄居蟹",2,6
"550","三宅紋寄居蟹",1,6
"551","三宅蝦蛄屬",1,5
"552","三宅擬長額蝦",1,6
"553","三尖杉",1,3
"554","三尖杉屬",1,4
"555","三尖駝蝶螺",2,5
"556","三肋真羽花介",1,6
"557","三肋捲管螺",2,5
"558","三肋盤肋螺",1,5
"559","三舌輻襇藻",2,5
"560","三色大滑胸花天牛",3,8
"561","三色小鳳梨",1,5
"562","三色小劍水蚤",1,6
"563","三色玄珠螺",1,5
"564","三色石狗公",2,5
"565","三色挖耳草",1,5
"566","三色格粒螺",1,5
"567","三色脈翅鐵甲蟲",1,7
"568","三色晦姬蜂",1,5
"569","三色筍螺",1,4
"570","三色雲鞭恩蚜小蜂",4,8
"571","三色萬代蘭",1,5
"572","三色榧螺",1,4
"573","三色瓢蟲屬",1,5
"574","三色錐折螺",1,5
"575","三色擬迷孔菌",1,6
"576","三色豔苔蛾",3,5
"577","三色豔螢金花蟲",1,7
"578","三伯肖頭蕊蘭",6,6
"579","三伯花柱蘭",1,5
"580","三伯脈葉蘭",1,5
"581","三尾灰蝶",3,4
"582","三尾灰蝶屬",1,5
"583","三尾紫灰蝶",1,5
"584","三尾塵蛛",1,4
"585","三岔鐮翅綠尺蛾",3,7
"586","三芒草屬",1,4
"587","三角凹緣天蛾",1,6
"588","三角光束介",1,5
"589","三角光鰓雀鯛",1,6
"590","三角多面水母",1,6
"591","三角形毛內隔孢菌",1,8
"592","三角形瓜",1,4
"593","三角折尾蝦",1,5
"594","三角杓蛤",1,4
"595","三角角藻",2,4
"596","三角赤姬尺蛾",1,6
"597","三角斧蛤",1,4
"598","三角芭蕉螺",3,5
"599","三角花井介",1,5
"600","三角長足虻屬",1,6
"601","三角南方招潮蟹",2,7
"602","三角咪草",6,4
"603","三角咪屬",1,4
"604","三角扁喙象",1,5
"605","三角指形軟珊瑚",1,7
"606","三角柄蜾贏蜚",1,6
"607","三角柱",5,3
"608","三角唇松蘭",1,5
"609","三角海花介",1,5
"610","三角病毒科",1,5
"611","三角缺叉石蛾",1,6
"612","三角脊蕊尾蛾",2,6
"613","三角脊龍蝦",1,5
"614","三角鬼蛛",8,4
"615","三角悠背菱蝗",1,6
"616","三角喇叭藻",3,5
"617","三角斑褐蠶蛾",3,6
"618","三角渦蟲科",1,5
"619","三角黃斑尖胸沫蟬",1,8
"620","三角黑頂藻",1,5
"621","三角嗡蜣螂",1,5
"622","三角椰子",2,4
"623","三角楓",1,3
"624","三角楓斑盤黴",1,6
"625","三角葉西番蓮",4,6
"626","三角葉冷水麻",3,6
"627","三角葉菫菜",1,5
"628","三角葉鱗毛蕨",10,6
"629","三角管象牙貝",1,6
"630","三角臺灣蔣氏節蜱",1,8
"631","三角蜻蜓",2,4
"632","三角銀錦蛤",1,5
"633","三角緣腹朽木甲",1,7
"634","三角褐指藻",1,5
"635","三角齒叉石蛾",1,6
"636","三角樹癭蜂",1,5
"637","三角龍舌蘭",1,5
"638","三角鎧茗荷屬",1,6
"639","三角雞心蛤",2,5
"640","三角瓣蛤科",1,5
"641","三角藤壺",1,4
"642","三角蟹蛛",5,4
"643","三角蟹蛛屬",1,5
"644","三角蟹屬",1,4
"645","三角麗木蝨",1,5
"646","三角藻目",1,4
"647","三角藻科",1,4
"648","三角藻屬",1,4
"649","三角露螽",1,4
"650","三角霸王鞭",1,5
"651","三角囊蟎",1,4
"652","三角彎線鳚",2,5
"653","三角鬚裳蛾屬",1,6
"654","三角鷹爪草",1,5
"655","三足棘魨屬",1,5
"656","三足蟲科",1,4
"657","三足蟲屬",1,4
"658","三刺同寄居蟹",2,6
"659","三刺角蟬屬",1,5
"660","三刺盒形藻",1,5
"661","三刺燧磷蝦",1,5
"662","三孢布拉黴",1,5
"663","三孢銹菌屬",1,5
"664","三板根節蘭",7,5
"665","三枝絲精黴",1,5
"666","三枝豔螢金花蟲",1,7
"667","三股刺沙蠶",1,5
"668","三舍巨星介",1,5
"669","三門狂蛛",1,4
"670","三剌擬步行蟲",1,6
"671","三勇士假花介",1,6
"672","三指叉絲單囊殼",3,7
"673","三指角水蚤",1,5
"674","三星冬夜蛾",1,5
"675","三星果藤",1,4
"676","三星果藤屬",1,5
"677","三星棕夜蛾",6,5
"678","三星棕夜蛾屬",1,6
"679","三星裸藻",1,4
"680","三洋苔屬",1,4
"681","三畏刀唇介",1,5
"682","三突伊氏蛛",5,5
"683","三突肉蠅",1,4
"684","三胞亞努斯海牛",1,7
"685","三苔肺衣",1,4
"686","三軍空腔介",1,5
"687","三重人面蟹",1,5
"688","三食亮大蚊",1,5
"689","三害玻璃介",1,5
"690","三峽脊粉蝨",1,5
"691","三格紅螢屬",1,5
"692","三浦羽花介",1,5
"693","三浦尾花介",1,5
"694","三浦花井介",1,5
"695","三浦海花介",1,5
"696","三紋艷擬步行蟲",1,7
"697","三翅萼",2,3
"698","三翅萼屬",1,4
"699","三翅鐵角蕨",4,5
"700","三胸突衍彰形渫蜣",3,8
"701","三脈紫麻",2,4
"702","三脈種阜草",2,5
"703","三脈褐蛉",4,4
"704","三脊似刺鎧蝦",2,6
"705","三脊沫蟬屬",1,5
"706","三脊異腕蝦",1,5
"707","三脊線寄居蟹",2,6
"708","三茸無鞭苔蟲",1,6
"709","三崎低寄居蟹",2,6
"710","三崎柱頭蟲",1,5
"711","三崎粗鱗鯒",2,5
"712","三帶大眼蠅",2,5
"713","三帶中脊沫蟬",1,6
"714","三帶天牛屬",1,5
"715","三帶凹片葉蟬",2,6
"716","三帶玉黍螺",1,5
"717","三帶立旗鯛",2,5
"718","三帶尖鼻魨",2,5
"719","三帶刺蛇尾",1,5
"720","三帶刻齒雀鯛",2,6
"721","三帶泡螺",1,4
"722","三帶蚜蠅",5,4
"723","三帶寄蠅",1,4
"724","三帶淡薊馬",1,5
"725","三帶眶棘鱸",1,5
"726","三帶筍螺",1,4
"727","三帶筒金花蟲",1,6
"728","三帶項鰭魚",2,5
"729","三帶圓雀鯛",2,5
"730","三帶蛹筆螺",1,5
"731","三強蟹屬",1,4
"732","三排緣尺蛾",3,5
"733","三排蟲科",1,4
"734","三排蟲屬",1,4
"735","三旋蟲",1,3
"736","三條山天牛",1,5
"737","三條阿里彩蠅",1,6
"738","三條粗天牛",3,5
"739","三條細頸金花蟲",2,7
"740","三條袋鼠介",1,5
"741","三條橙燈蛾",4,5
"742","三眼小盤藻",2,5
"743","三術尾巴花介",1,6
"744","三趾翠鳥屬",1,5
"745","三趾濱鷸",2,4
"746","三趾鶉科",1,4
"747","三趾鶉屬",1,4
"748","三趾鷗",1,3
"749","三趾鷗屬",1,4
"750","三戟果蠅",1,4
"751","三戟蜣螂",2,4
"752","三斑止夜蛾",1,5
"753","三斑石斑魚",4,5
"754","三斑沙鰈",1,4
"755","三斑虎灰蝶",3,5
"756","三斑金姬蛛",1,5
"757","三斑長唇實蠅",1,6
"758","三斑首夜蛾",1,5
"759","三斑家蚊",2,4
"760","三斑庫蠓",1,4
"761","三斑海馬",4,4
"762","三斑海豬魚",2,5
"763","三斑盔突蟬蝦",1,6
"764","三斑雀鯛",6,4
"765","三斑圓雀鯛",4,5
"766","三斑搖蚊",1,4
"767","三斑絹野螟",1,5
"768","三斑廣翅實蠅",1,6
"769","三斑鋸鰓天竺鯛",3,7
"770","三斑臂蠅",1,4
"771","三斑薄翅斑蛾",1,6
"772","三斑隱肩舞虻",1,6
"773","三斑叢光魚",2,5
"774","三晶柱螫磷蝦",1,6
"775","三棘若帶鰆",1,5
"776","三棘姬蛛",1,4
"777","三棘帶鮋",1,4
"778","三棘魨科",1,4
"779","三棘魨屬",1,4
"780","三棘鱟",1,3
"781","三棱蟲科",1,4
"782","三棱蟲屬",1,4
"783","三殼灰介屬",1,5
"784","三絲果蠅",1,4
"785","三絲星衫魚",1,5
"786","三絲真巨口魚",1,6
"787","三菱果樹參",5,5
"788","三裂皿蘭",2,4
"789","三裂合果芋",1,5
"790","三裂羊耳蒜",1,5
"791","三裂葉豇豆",9,5
"792","三裂葉蛇葡萄",1,6
"793","三裂葉豬草",1,5
"794","三裂蔓綠絨",1,5
"795","三裂鞭蘚",2,4
"796","三裂鞭蘚阿薩姆變種",1,9
"797","三貂嶺細煙管蝸牛",1,8
"798","三階細顎姬蜂",1,6
"799","三暗黃果蠅",1,5
"800","三溝長朽木蟲",1,6
"801","三稜海扇蛤",1,5
"802","三稜裸藻",1,4
"803","三稜箱魨屬",1,5
"804","三稜藨草柄銹菌",1,7
"805","三稜藻科",1,4
"806","三稜藻屬",1,4
"807","三節蚊獵椿象",1,6
"808","三節葉蜂科",1,5
"809","三節葉蜂屬",1,5
"810","三節穢蠅",1,4
"811","三腳剪",39,3
"812","三腳鳳尾蕨",3,5
"813","三腳虌",7,3
"814","三腳虌草",1,4
"815","三腳虌屬",1,4
"816","三腳龞生星盾煤菌",1,8
"817","三腸目",1,3
"818","三腺才女蟲",1,5
"819","三腺金絲桃",2,5
"820","三腺金絲桃屬",1,6
"821","三萼花草",2,4
"822","三葉小瓷蟹",2,5
"823","三葉山芹菜",6,5
"824","三葉山香圓",2,5
"825","三葉山香圓單毛節蜱",1,9
"826","三葉五加",8,4
"827","三葉五加黑煤菌",1,7
"828","三葉尺蛾屬",1,5
"829","三葉木通",1,4
"830","三葉木藍",3,4
"831","三葉光鰓雀鯛",2,6
"832","三葉花椒",1,4
"833","三葉茀蕨",36,4
"834","三葉原甲藻",1,5
"835","三葉唇魚",8,4
"836","三葉埔姜",1,4
"837","三葉茴香",6,4
"838","三葉馬纓丹",1,5
"839","三葉崖爬藤",3,5
"840","三葉陷口牙蟲",1,6
"841","三葉魚藤",10,4
"842","三葉黃連",1,4
"843","三葉新月蕨",10,5
